movie_name,storyline,url
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",https://www.imdb.com/title/tt22022452/
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,https://www.imdb.com/title/tt13433802/
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",https://www.imdb.com/title/tt22048412/
Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.,https://www.imdb.com/title/tt3083016/
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",https://www.imdb.com/title/tt26548265/
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",https://www.imdb.com/title/tt7510222/
Kalki 2898 AD,A pregnant woman comes under the protection of an immortal warrior while being tracked down by bounty hunters.,https://www.imdb.com/title/tt12735488/
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",https://www.imdb.com/title/tt26736843/
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity.",https://www.imdb.com/title/tt21051906/
Under Paris,"To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",https://www.imdb.com/title/tt13964390/
Chandu Champion,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.,https://www.imdb.com/title/tt27470893/
Munjya,"A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches.",https://www.imdb.com/title/tt27995594/
Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs.",https://www.imdb.com/title/tt23770030/
Look Back,"The overly confident Fujino and the shut-in Kyomoto couldn't be more different, but a love of drawing manga brings these two small-town girls together.",https://www.imdb.com/title/tt31711040/
Trigger Warning,"A special forces commando returns to her hometown after her father's sudden death, only to run afoul of a violent gang when she starts asking questions.",https://www.imdb.com/title/tt5834874/
Maharaj,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior.",https://www.imdb.com/title/tt4501268/
Love Li,Follows an orphan who later becomes a gangster when he grows up,https://www.imdb.com/title/tt27051027/
Sipahi,"Agent Korkut Ali Türkoglu, trained by the National Intelligence Organization, uncovers crucial information about plans concerning Turkey.",https://www.imdb.com/title/tt32765621/
Blackout,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune.",https://www.imdb.com/title/tt27940442/
We Will Dance Again,"A minute-by-minute retelling of the Supernova Music Festival Massacre, which took place on October 7th.",https://www.imdb.com/title/tt31556612/
The Damned,"A 19th-century widow has to make an impossible choice when, during an especially cruel winter, a foreign ship sinks off the coast of her Icelandic fishing village.",https://www.imdb.com/title/tt15010692/
Weapon,"Agni a YouTuber who is a dedicated environmentalist is searching for a superhuman (Mithran), to shoot and add as content for his channel. The journey is full of twists and turns as he is not the only one searching for him.",https://www.imdb.com/title/tt27440937/
Toofan,Follows a born killer who rises to power and becomes the biggest toofan,https://www.imdb.com/title/tt30415138/
The Day the Earth Blew Up: A Looney Tunes Movie,Porky Pig and Daffy Duck are Earth's only hope when facing the threat of alien invasion.,https://www.imdb.com/title/tt15352542/
Avicii - I'm Tim,"Tim Bergling, a shy and insecure boy who, without realizing it, suddenly created one of the world's most loved artists - Avicii.",https://www.imdb.com/title/tt32138523/
I Am: Celine Dion,"A raw and honest behind-the-scenes look at the iconic superstar's struggle with Stiff Person Syndrome, a life-altering illness.",https://www.imdb.com/title/tt28620587/
Ishq Vishk Rebound,"Follows the lives of four young people who become enmeshed in a web of friendship, love, and self-discovery.",https://www.imdb.com/title/tt20854856/
A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy.",https://www.imdb.com/title/tt16491560/
Ultraman: Rising,"Ken Sato is a superstar baseball player who returns to Japan to become the latest hero to carry the mantle of Ultraman. However, he is compelled to raise a newborn kaiju monster, the offspring of his greatest enemy, as his own child.",https://www.imdb.com/title/tt9471678/
