movie_name,storyline,url
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",https://www.imdb.com/title/tt17526714/
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",https://www.imdb.com/title/tt12037194/
Anora,"A young stripper from Brooklyn impulsively marries the son of Russian oligarchs, but her fairy tale is threatened when his parents set out for New York to get the marriage annulled.",https://www.imdb.com/title/tt28607951/
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",https://www.imdb.com/title/tt22022452/
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",https://www.imdb.com/title/tt23468450/
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,https://www.imdb.com/title/tt13433802/
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",https://www.imdb.com/title/tt11389872/
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",https://www.imdb.com/title/tt4772188/
Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.",https://www.imdb.com/title/tt20221436/
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",https://www.imdb.com/title/tt4919268/
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",https://www.imdb.com/title/tt22048412/
Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.,https://www.imdb.com/title/tt3083016/
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",https://www.imdb.com/title/tt26548265/
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",https://www.imdb.com/title/tt7510222/
Kalki 2898 AD,A pregnant woman comes under the protection of an immortal warrior while being tracked down by bounty hunters.,https://www.imdb.com/title/tt12735488/
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",https://www.imdb.com/title/tt8368368/
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",https://www.imdb.com/title/tt22408160/
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",https://www.imdb.com/title/tt26736843/
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,https://www.imdb.com/title/tt11152168/
Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity.",https://www.imdb.com/title/tt14856980/
The Count of Monte Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",https://www.imdb.com/title/tt26446278/
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",https://www.imdb.com/title/tt17505010/
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",https://www.imdb.com/title/tt10128846/
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity.",https://www.imdb.com/title/tt21051906/
Under Paris,"To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",https://www.imdb.com/title/tt13964390/
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",https://www.imdb.com/title/tt14088510/
